,CSEM 100-G17/ On Being Human,CSEM 100-G06/ Eye. Spy. The Art of Observation,CSEM 100-G12/ Music and Sound Technology,CSEM 100-G08/ Fact or Fiction: Using Science to Tackle Popular Myths,CSEM 100-G04/ Why Do We Eat That?,CSEM 100-G13/ Physics for Future Presidents,CSEM 100-G18/ Community Service,CSEM 100-G01/ Global Peacebuilding and Leadership,CSEM 100-G03/ Citizenship and Borders,CSEM 100-G20/ Community Service,CSEM 100-G14/ American Inequality,CSEM 100-G16/ Hashtagging the Revolution: Social Media and Political Participation in the Digital Age,CSEM 100-G02/ Eataly: Food in Italian Culture,CSEM 100-G07/ Art and the Body,CSEM 100-G09/ Science in Fiction (But NOT Science Fiction),CSEM 100-G19/ Community Service,CSEM 100-G11/ Mathematics: The Language of the Universe,CSEM 100-G10/ The Meaning of Life in Ancient Thought,CSEM 100-G05/ Forensic Anthropology Examined,CSEM 100-G15/ Politics of Popular Culture
2855,0,0,0,5,2,0,0,0,1,0,3,0,0,0,0,0,4,0,0,0
2856,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,2
2858,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
2859,0,2,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
2860,0,0,0,5,1,0,0,0,0,0,0,0,0,4,0,0,0,2,3,0
2861,3,2,4,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0
2863,4,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,5
2865,2,0,0,5,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
2867,5,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
2868,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
2869,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,3,1,4,0
2871,0,5,0,3,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0
2873,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2875,0,0,0,2,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,5
2876,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,5
2878,5,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,0,3,0
2879,5,4,0,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
2880,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,4,5
2881,0,5,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,1,3
2883,4,0,0,5,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0
2884,5,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
2885,3,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0
2886,0,1,0,0,0,0,0,2,3,0,4,0,0,0,0,0,0,0,0,5
2887,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2888,0,0,0,5,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2
2889,1,5,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
2890,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
2891,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0
2892,3,0,0,5,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
2893,0,5,4,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2894,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2
2895,5,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2903,0,0,5,0,0,0,0,0,1,0,0,0,3,0,4,0,0,2,0,0
2905,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,4
2906,0,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,4
2907,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,5,0,4
2910,0,0,0,2,0,4,0,1,0,0,0,0,0,0,3,0,5,0,0,0
2911,3,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0
2913,3,0,0,0,5,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0
2914,2,5,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,0,0
2915,0,0,0,3,0,2,0,0,0,0,1,0,0,0,4,0,5,0,0,0
2916,3,0,0,0,0,0,0,2,0,0,4,0,0,1,0,0,0,5,0,0
2917,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,4,5
2918,0,4,2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
2919,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,2,0,4,0,1
2921,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,0
2922,0,5,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0
2923,0,0,0,5,4,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0
2924,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
