,"Hogwarts, Houses, and Horcruxes: The Psychology of Harry Potter, Prof. Jill Cermele","Reproduction in the 21st Century, Prof. Tina McKittrick","Magic Bullets: The Role and Limitations of Science in Medicine, Prof. Adam Cassano","Sacred Wisdom, Prof. Chris Taylor","Why We Buy: The Science of Shopping, Prof. Chris Andrews","Weapons of Math Destruction: Living with Algorithms, Prof. Minjoon Kouh","Shock: The Theatre of The Grand-guignol & Its Legacy, Prof. Andy Elliott","American Inequality, Prof. Jason Jordan","The Evolution of the Hero, Prof. John Muccigrosso","Film and the City, Prof. Muriel Placet-Kouassi","Global Peacebuilding and Interfaith Leadership, Prof. Jonathan Golden","Music and Meaning, Prof. Treavor Weston","HIV/AIDS: Biology in a Global Context, Prof. Brianne Barker","Four Out of Five Drew Students Recommend this Seminar: Evaluating Survey Research, Prof. Sarah Abramowitz","#Democracy & Digital Citizenship, Prof. Elias Ortega-Aponte","Are We Alone? Contact, Communication and Consequences of Extraterrestrial Life, Prof. Alan Rosan","From Aphrodite to Lady Pink: Women and Art, Prof. Peggy Kuntz","You Are What You Eat: U.S. Food Cultures, Prof. Angie Kirby-Calder","Latinos/as in Hollywood, Prof. Raul Rosales","Forty Studies That Changed Psychology, Prof. Patrick Dolan","The American Politician, Prof. Phil Mundo","Searching for Hamlet: On the Page, Stage, and Screen, Prof. Dan LaPenta","Strangers at the Shore: Politics of Immigration, Prof. Sangay Mishra"
150,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,2,0,4,0,3,0
151,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,4,0,0,0,3,0,0
152,2,5,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0
153,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,4,0,5,0,0,0
154,0,0,3,0,0,4,0,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0
155,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,2,0,3,0,0,0,0,0
156,4,0,0,0,0,0,0,0,3,0,0,0,0,1,0,5,0,0,0,0,0,2,0
157,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,2
158,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4,0,0,0
159,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,4,0,0,0
160,0,0,0,0,2,0,0,0,4,0,0,1,0,0,0,3,0,0,0,5,0,0,0
161,0,0,0,0,5,0,0,0,0,0,0,0,0,3,2,0,0,4,0,1,0,0,0
162,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,5,0,0,0,0,3,0
163,4,0,0,0,2,0,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
164,1,0,0,4,0,0,0,0,0,5,0,3,0,0,0,2,0,0,0,0,0,0,0
165,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0
166,3,0,4,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0
167,0,0,4,0,1,3,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0
168,4,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,3,0,0
169,5,0,0,1,0,0,0,0,0,3,2,0,0,4,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,4,0,0,3,0
171,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,5
172,3,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
173,0,3,5,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
174,2,0,0,0,4,3,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
175,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,4,0,0,0,2,0,0,3
176,2,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,1,0,3,0,0,0
177,0,0,0,0,0,0,0,5,0,0,0,3,0,0,2,0,0,0,0,0,4,0,1
178,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,3,0,4,0,1,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,0,0,4,2,0,0,0
180,0,0,2,0,5,0,0,3,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0
181,0,0,3,0,0,4,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0
182,0,0,5,0,0,0,0,0,0,0,0,0,3,4,0,0,0,1,0,2,0,0,0
183,4,0,0,0,1,0,2,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0
184,0,0,0,5,0,0,0,2,0,0,3,0,0,4,0,1,0,0,0,0,0,0,0
185,2,0,5,0,3,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
